FileName,DesArea,DesD6Area,CholArea,CholD7Area,24SHCArea,24R_S_HCD7Area,On_OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_35,5705387.368,9716174.498,1474946485.0,300962121.0,6409894.976,11136226.66,OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_36,16782002.33,29811059.0,3690668785.0,741809537.7,21418535.61,37421278.64,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_37,3402033.244,3777766.322,1122424588.0,129107682.1,8730695.854,11615782.45,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_38,5885231.565,5791757.637,1693698160.0,187134874.0,18109607.53,23418910.94,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_39,9479111.681,11939911.59,2391851852.0,337019911.0,26424573.06,27484141.2,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_40,11304826.02,12435045.88,2625717498.0,364485597.2,21664039.22,35635265.12,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_41,15216444.29,13053987.52,3507173487.0,355916330.7,40237164.65,62639351.61,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_42,2503345.29,2269417.47,890584426.3,94134670.58,6289301.677,9946872.798,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_43,2365646.658,1869585.877,684428939.9,79804669.1,4934236.893,7174364.497,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_44,3824218.862,5630016.566,1018312453.0,189651343.2,1877914.187,8084987.648,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_45,1240123.812,2942861.22,637791960.2,125777914.6,277552.2537,3454082.074,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_46,6345.823157,30761.1099,19030496.37,4289759.358,13309.8047,396124.1133,OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_47,13547.12505,0.0,8862403.127,5622895.513,17319.57331,1492569.496,OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_48,12042.4145,0.0,2735687.344,3166536.818,6872.461781,1653067.108,OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_49,8995.786164,16443.3274,9626762.739,5162241.386,133158.1396,730734.8515,OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_50,4837523.975,6548424.857,1299522720.0,227782982.0,4769732.51,6856539.156,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_51,6058466.094,8107534.375,1636478246.0,261643037.6,10505794.44,14931360.46,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_52,4799283.598,4288387.152,1202709313.0,148444315.3,8552741.531,9941454.712,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_53,2861871.561,1863969.807,612382856.2,77555091.62,5849283.773,4219166.736,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_54,3367363.605,2760015.964,848976955.0,110346244.2,6125750.27,6466501.298,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_55,3820522.722,3178622.117,854057630.3,124958536.1,3039135.227,5424262.572,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_56,3382456.32,2813059.37,1025546127.0,107250676.7,7030801.443,11940285.17,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_57,2068493.756,1902541.926,810129129.2,74797047.9,4912488.2,7963425.74,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_58,3704451.59,3587719.187,1085428943.0,125562043.9,5833748.517,9644732.226,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_59,2935512.249,3895774.473,779881621.4,142640485.4,1485764.701,3605794.649,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_60,7232159.477,14534512.99,2251407136.0,443430696.8,2558606.546,22238352.94,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_61,2710537.872,5793667.958,1126569145.0,218187800.7,644392.855,8441416.059,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_62,539427.8427,1337943.561,362294759.8,69824559.8,113269.009,1429782.318,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_63,9749.892967,0.0,9224721.486,2408222.019,4337.489775,339603.3437,OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_64,6687.414851,9810.378053,7336567.062,6220967.702,5867.298193,1057418.812,OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_65,7632.681336,0.0,10654330.89,2458556.762,52766.43284,194267.5625,OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_66,7213329.239,8870128.206,1719243597.0,276315600.8,14269983.41,19573731.09,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_67,24926999.93,22421452.91,4563233421.0,602781674.8,56072003.55,64803686.43,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_68,3963035.483,3016994.077,842058174.8,114817309.7,9451693.772,6518218.34,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_69,7792462.934,5547675.278,1347357285.0,185527894.1,10668262.52,7101193.342,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_70,3105708.492,1767750.877,652006607.9,79140519.44,4398959.74,4404233.282,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_71,6393043.174,3697950.707,1223161810.0,131819584.5,12871467.77,11578177.41,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_72,1788866.094,1145181.332,537045237.5,52660075.85,2915089.418,3865067.174,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_73,3568297.613,2896652.49,1254910722.0,104955222.5,8818814.858,16251610.3,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_74,2528257.796,1955113.846,815484127.9,80308376.58,4422336.786,9074758.62,OnTissue
